  AM adverb-particle-viewpoint-engineering | 视点问题可能来自日语语法而非观察顺序。
  AM camera-attention-engineering | 故意蒙太奇式硬切。
  AM narrator-intervention-abstraction-control | 静态目录是证物清单。
  AM camera-attention-engineering | 句子视觉跳跃其实是梦境策略。
  ST miss counterfactual-revision#4: route=metaphor-audit | 把比喻拿掉但保留事实。
  ST miss counterfactual-revision#5: route=verb-event-engineering | 只换主宾看责任感怎么变。
  AM counterfactual-revision | 修复一个同时有事实错误和风格错误的句子。
  AM  literary-style-router | 用户要求“彻底重写”但又问原因。
  AM counterfactual-revision | 两个版本事实本身也不同。
  AM adverb-particle-viewpoint-engineering | 需要改变视点和时态才能修复连续性。
  AM         literary-evals | 我想评测同时也修当前段落。
  AM         literary-evals | 只有一个输出但想知道skill是否稳定。
  AM         literary-evals | 没有baseline模型可用。
  AM         literary-evals | 触发描述看起来过宽但没有运行时agent。
  AM verb-event-engineering | 这段很平，但我怀疑是动词。
  AM counterfactual-revision | 这段AI味主要来自“意味着”吗？
  AM                   NONE | 中式文学化一下。
  AM camera-attention-engineering | 让这段更有镜头感，同时保留原句。
  ST miss relation-scaffolding#7: route=adverb-particle-viewpoint-engineering | 对“似乎”做concordance，看哪些是必要的认识限定。
  SN hit  relation-scaffolding#0: route=relation-scaffolding | 写一个没有关系词的诗。
  AM   relation-scaffolding | “然而”很多，但这是法庭辩论。
  AM narrator-intervention-abstraction-control | 小说里故意模仿学术论文。
  AM adverb-particle-viewpoint-engineering | 一段内心独白里“似乎”连续出现。
  AM counterfactual-revision | “不是A而是B”可能真的改变预测。
  AM         metaphor-audit | “纸薄如蝉翼”太常见，要不要删？
  AM         metaphor-audit | 一个故意陈词滥调的角色说套话。
  AM         metaphor-audit | 这段很平，我不确定是不是需要比喻。
  AM corpus-convergence-audit | 同一个意象反复出现，可能是motif。
  ST miss verb-event-engineering#7: route=predicate-licensing-and-personification | 解释谓词强制转换为什么成立或失败。
  AM chinese-derived-event-geometry | 中文句子里动词和趋向一起有问题。
  AM english-derived-motion-packaging | 英语phrasal verb既含路径又含体貌。
  AM verb-event-engineering | 被动句可能是视点也可能是责任。
  AM predicate-licensing-and-personification | 陌生搭配可能是创造也可能是病句。
  ST miss chinese-derived-event-geometry#1: route=predicate-licensing-and-personification | “视线被雪浮起一截”为什么成立？
  ST miss chinese-derived-event-geometry#5: route=property-and-adjective-engineering | 把静态形容改成事件后果。
  AM adverb-particle-viewpoint-engineering | 中文句子主要是视点顺序问题。
  AM chinese-derived-event-geometry | 英语目标想借用中文结果态思路。
  AM chinese-derived-event-geometry | 日语目标想借用连动式观察链。
  AM                   NONE | 古典例句需要历史训诂而不是写作操作。
  ST miss english-derived-motion-packaging#4: route=verb-event-engineering | 什么时候不要把walk换成stride？
  AM french-derived-motion-packaging | 英语里path lexical verb可能更好。
  AM french-derived-motion-packaging | 法语目标需要逆向重打包。
  AM chinese-derived-event-geometry | 中文目标可能把manner放在连动里。
  AM english-derived-motion-packaging | apparent motion可能只是修辞而非真实观察几何。
  AM french-derived-motion-packaging | 法语本句manner就是主事件。
  AM english-derived-motion-packaging | 英语目标可能重新把manner塞回主谓词。
  AM chinese-derived-event-geometry | 中文目标可能用趋向而非path verb。
  AM french-derived-motion-packaging | 出现动词既可解释为真实运动也可解释为显露。
  ST miss dialogue-voice#6: route=narrator-intervention-abstraction-control | 恐惧中角色不该完整总结因果模型。
  AM         dialogue-voice | 孩子确实长期刷心理学短视频。
  AM         dialogue-voice | 角色故意模仿领导说话。
  AM         dialogue-voice | 教授私下说粗话。
  AM         dialogue-voice | 技术人员在危机里说高度专业术语。
  AM       character-motive | 角色本来就是冲动和不稳定。
  AM       character-motive | 重大创伤后价值真的改变。
  AM       character-motive | 两个动机相互冲突而非一个生成器。
  AM       character-motive | 荒诞喜剧故意让人格随段落改变。
  ST miss sentence-pressure#2: route=chinese-derived-event-geometry | 长句是不是在一条连续动作路径上？
  ST miss sentence-pressure#5: route=chinese-derived-event-geometry | 句子断开后动作路径被切碎了。
  AM      sentence-pressure | 故意用平铺清单制造冷感。
  AM      sentence-pressure | 极短句是角色呼吸节奏。
  AM chinese-derived-event-geometry | 长句是意识流且故意多路径。
  AM      sentence-pressure | 重复是仪式性修辞而非信息推进。
  ST miss narrator-intervention-abstraction-control#9: route=dialogue-voice | 人物一开口就像心理咨询公众号。
  AM narrator-intervention-abstraction-control | “他很累”可能已经足够。
  AM narrator-intervention-abstraction-control | “她攥拳”可能是冷而非怒。
  AM narrator-intervention-abstraction-control | 故意用心理诊断式旁白。
  AM   knowledge-boundaries | 细节需要明确唯一解释的悬疑线索。
  AM         dialogue-voice | 这个教授在内心独白里说“重新审视”，算AI吗？
  AM         dialogue-voice | 故意用公司话术写黑色幽默。
  AM narrator-intervention-abstraction-control | 旁白跨越十年说“关系恶化了”。
  AM         dialogue-voice | 角色年龄小但爱看心理学视频。
  ST miss adverb-particle-viewpoint-engineering#4: route=camera-attention-engineering | 分析万叶集“田子の浦ゆ…見れば”的视场展开。
  AM verb-event-engineering | 日语被动同时涉及责任和视点。
  AM adverb-particle-viewpoint-engineering | 英语目标使用日本式attention操作。
  AM adverb-particle-viewpoint-engineering | 中文目标想借用授受共感思路。
  AM                   NONE | 古典日语语法争议需要学术训诂。
  AM adverb-particle-viewpoint-engineering | 方言里“才”可能只是强调，没有threshold内容。
  AM      sentence-pressure | 仪式性文本用助词做节奏而非话语功能。
  AM property-and-adjective-engineering | 这个形容词既是评价又是指称。
  AM narrator-intervention-abstraction-control | “他很累”可能已经足够——修饰语在哪里？
  AM property-and-adjective-engineering | 故意用判断式形容词的叙述者声音。
  AM property-and-adjective-engineering | affective和evaluative的边界。
  ST miss naming-and-address-engineering#5: route=social-naming-relation-maps | 称呼没变但关系变了，怎么通过称呼体现？
  ST miss naming-and-address-engineering#6: route=social-naming-relation-maps | 检查这段的称呼连续性。
  AM naming-and-address-engineering | 角色故意模仿领导的称呼方式。
  AM naming-and-address-engineering | 正式场合必须用头衔。
  AM naming-and-address-engineering | 孩子对同一人多个称呼。
  AM naming-and-address-engineering | 称呼变化可能只是口误。
  AM         metaphor-audit | 这可能是比喻而不是谓词授权。
  AM predicate-licensing-and-personification | 门犹豫——拟人还是幕后人物？
  AM predicate-licensing-and-personification | 陌生搭配可能是病句。
  AM verb-event-engineering | 被动句是责任还是视点。
  AM         dialogue-voice | 角色知道但不会说（语域问题）。
  AM   knowledge-boundaries | 全家共享的误信。
  AM   knowledge-boundaries | 有限叙述者可能出错。
  AM   knowledge-boundaries | 猜测与知道的边界。
  ST miss social-naming-relation-maps#6: route=naming-and-address-engineering | 故意破坏称呼法则作为这一场的事件。
  ST miss social-naming-relation-maps#7: route=naming-and-address-engineering | 散会后他叫“小王”——权限被拒绝。
  AM social-naming-relation-maps | 单次称呼和全局地图的界限。
  AM       character-motive | 正式场合头衔是角色扮演。
  AM naming-and-address-engineering | 故意误称是冲突。
  AM social-naming-relation-maps | 全文统一使用名字是设计。
  ST miss corpus-convergence-audit#7: route=narrator-intervention-abstraction-control | 抽象/证据交替的节奏。
  AM corpus-convergence-audit | 体裁本身有固定op序列。
  AM corpus-convergence-audit | 作者签名和模板的界限。
  AM corpus-convergence-audit | 主题组合作品的共享骨架。
  AM corpus-convergence-audit | 词汇复现和操作复现混合。
  ST miss literary-strategy-controller#4: route=corpus-convergence-audit | 重复必须改变作品状态——这是motif还是模板？
  AM literary-strategy-controller | 段落很短，要不要控制器？
  AM corpus-convergence-audit | 刻意的仪式性重复。
  AM corpus-convergence-audit | motif和模板的界限。
  AM corpus-convergence-audit | 体裁规范本身就是重复。
RESULT: should_trigger 176/194  should_not_trigger 185/186
